Unnamed: 0,New Provider Name,Assessment and plan for trauma,Assessment and plan for pain,Pt is at baseline No GDR,Attempted GDR,Failed GDR,Unstable requiring no med changes,Pt Unstable Requiring Med Changes,Ordered labs,Total Psych Meds Started,Total Psych Meds Discontinued,Total Psych Meds Increased,Total Pysch Meds Decreased,Changed diagnosis,Referred patient to,Initiated prior authorization,Summary of session and goals,Decision making,Total Difference In Psych Meds,Initiated Baker Act,Initiated 1 1 sitter,Removed 1 1 sitter
,Provider-89,70,70,76,8,0,9,55,16,40,39,24,17,10,7,1,0,0,-1,0,0,0
,Provider-148,53,52,193,47,0,15,121,16,95,76,70,16,5,32,1,0,16,-19,2,0,0
,Provider-90,14,13,70,10,0,7,12,3,8,12,7,15,2,2,0,0,3,4,0,0,0
,Provider-161,51,48,102,13,3,26,53,7,33,29,25,22,8,11,0,0,13,-4,0,0,0
,Provider-92,37,30,182,18,1,29,46,2,37,15,25,21,5,44,0,0,2,-22,0,0,0
,Provider-93,50,49,170,45,0,67,52,4,33,45,18,37,10,0,0,0,16,12,1,0,0
,Provider-94,59,60,245,33,0,36,75,6,33,45,32,38,5,44,0,0,11,12,0,0,1
,Provider-95,29,30,201,17,0,35,84,16,36,31,45,16,9,2,0,0,8,-5,1,0,3
,Provider-96,41,37,205,23,2,19,83,1,49,26,46,30,6,0,0,0,14,-23,0,0,0
,Provider-97,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0
,Provider-149,48,47,168,79,0,8,51,11,33,47,33,61,16,2,0,0,5,14,0,0,0
,Provider-150,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0
,Provider-99,68,63,231,18,0,49,121,30,35,70,70,38,15,14,0,0,8,35,0,0,1
,Provider-100,8707,5194,20457,1867,45,3393,6337,977,3822,3442,3503,1965,1024,1024,55,9941,486,-380,32,28,37
,Provider-0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0
,Provider-134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
,Provider-2,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0
,Provider-3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0
,Provider-4,40,0,0,0,0,0,0,0,0,0,0,0,18,9,0,40,0,0,0,0,0
,Provider-135,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0
,Provider-151,57,0,0,0,0,0,0,0,0,0,0,0,1,1,0,224,0,0,2,1,1
,Provider-114,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0
,Provider-140,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
,Provider-7,42,41,271,24,1,22,59,8,31,40,26,21,5,0,0,0,5,9,0,0,0
,Provider-9,46,42,200,11,0,38,45,14,33,29,29,16,22,25,0,0,6,-4,1,0,0
,Provider-11,60,56,288,34,3,48,187,30,125,110,91,35,31,29,0,0,18,-15,0,0,0
,Provider-152,88,89,201,22,0,31,85,11,70,42,23,23,8,7,0,0,0,-28,0,0,0
,Provider-136,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0
,Provider-13,67,67,202,4,0,65,97,8,52,26,43,6,12,2,1,0,0,-26,0,0,0
,Provider-14,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,2,0,0
,Provider-153,107,106,140,68,3,4,131,0,66,93,102,61,10,0,0,0,0,27,0,0,0
,Provider-15,328,327,227,19,0,60,73,8,44,33,30,26,14,0,0,0,0,-11,1,2,1
,Provider-16,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,0,0,0,0
,Provider-115,407,0,0,0,0,0,0,0,0,0,0,0,1,0,0,408,0,0,0,0,0
,Provider-116,30,30,136,20,3,14,103,13,35,34,71,25,9,0,0,0,6,-1,0,0,0
,Provider-154,72,0,0,0,0,0,0,0,0,0,0,0,8,5,0,72,0,0,2,2,2
,Provider-141,71,0,0,0,0,0,0,0,0,0,0,0,36,0,0,152,0,0,0,0,0
